"60,000 ms (1 minute) / Tempo (BPM) = Delay Time in ms for quarter-note beats",,,,,
"The time in years is equal to the seconds divided by 31,556,952",,,,,
"60,000 ms (1 minute) / Tempo (BPM) = Delay Time in ms for quarter-note beats",,,,,
"The time in years is equal to the seconds divided by 31,556,952",,,,,
,,,,,
"Melody Count","Note Count","BPM","Note Length","Melody Length","Total Length"
,"1/4 notes",,"milliseconds","seconds","years"
"68,719,476,735",12.00,120,"=60000/C8","=D8*B8/1000","=A8*E8/31556952"
"68,719,476,736",12.00,"=C8+20","=60000/C9","=D9*B9/1000","=A9*E9/31556952"
"68,719,476,737",12.00,"=C9+20","=60000/C10","=D10*B10/1000","=A10*E10/31556952"
"68,719,476,738",12.00,"=C10+20","=60000/C11","=D11*B11/1000","=A11*E11/31556952"
"68,719,476,739",12.00,"=C11+20","=60000/C12","=D12*B12/1000","=A12*E12/31556952"
"68,719,476,740",12.00,"=C12+20","=60000/C13","=D13*B13/1000","=A13*E13/31556952"
"68,719,476,741",12.00,"=C13+20","=60000/C14","=D14*B14/1000","=A14*E14/31556952"
"68,719,476,742",12.00,"=C14+20","=60000/C15","=D15*B15/1000","=A15*E15/31556952"
"68,719,476,743",12.00,"=C15+20","=60000/C16","=D16*B16/1000","=A16*E16/31556952"
"68,719,476,744",12.00,"=C16+20","=60000/C17","=D17*B17/1000","=A17*E17/31556952"
"68,719,476,745",12.00,"=C17+20","=60000/C18","=D18*B18/1000","=A18*E18/31556952"
"68,719,476,746",12.00,"=C18+20","=60000/C19","=D19*B19/1000","=A19*E19/31556952"
"68,719,476,747",12.00,"=C19+20","=60000/C20","=D20*B20/1000","=A20*E20/31556952"
"68,719,476,748",12.00,"=C20+20","=60000/C21","=D21*B21/1000","=A21*E21/31556952"
"68,719,476,749",12.00,"=C21+20","=60000/C22","=D22*B22/1000","=A22*E22/31556952"
"68,719,476,750",12.00,"=C22+20","=60000/C23","=D23*B23/1000","=A23*E23/31556952"
"68,719,476,751",12.00,"=C23+20","=60000/C24","=D24*B24/1000","=A24*E24/31556952"
"68,719,476,752",12.00,"=C24+20","=60000/C25","=D25*B25/1000","=A25*E25/31556952"
"68,719,476,753",12.00,"=C25+20","=60000/C26","=D26*B26/1000","=A26*E26/31556952"
"68,719,476,754",12.00,"=C26+20","=60000/C27","=D27*B27/1000","=A27*E27/31556952"
"68,719,476,755",12.00,"=C27+20","=60000/C28","=D28*B28/1000","=A28*E28/31556952"
"68,719,476,756",12.00,"=C28+20","=60000/C29","=D29*B29/1000","=A29*E29/31556952"
"68,719,476,757",12.00,"=C29+20","=60000/C30","=D30*B30/1000","=A30*E30/31556952"
"68,719,476,758",12.00,"=C30+20","=60000/C31","=D31*B31/1000","=A31*E31/31556952"
"68,719,476,759",12.00,"=C31+20","=60000/C32","=D32*B32/1000","=A32*E32/31556952"
"68,719,476,760",12.00,"=C32+20","=60000/C33","=D33*B33/1000","=A33*E33/31556952"
"68,719,476,761",12.00,"=C33+20","=60000/C34","=D34*B34/1000","=A34*E34/31556952"
"68,719,476,762",12.00,"=C34+20","=60000/C35","=D35*B35/1000","=A35*E35/31556952"
"68,719,476,763",12.00,"=C35+20","=60000/C36","=D36*B36/1000","=A36*E36/31556952"
"68,719,476,764",12.00,"=C36+20","=60000/C37","=D37*B37/1000","=A37*E37/31556952"
"68,719,476,765",12.00,"=C37+20","=60000/C38","=D38*B38/1000","=A38*E38/31556952"
"68,719,476,766",12.00,"=C38+20","=60000/C39","=D39*B39/1000","=A39*E39/31556952"
"68,719,476,767",12.00,"=C39+20","=60000/C40","=D40*B40/1000","=A40*E40/31556952"
"68,719,476,768",12.00,"=C40+20","=60000/C41","=D41*B41/1000","=A41*E41/31556952"
"68,719,476,769",12.00,"=C41+20","=60000/C42","=D42*B42/1000","=A42*E42/31556952"
"68,719,476,770",12.00,"=C42+20","=60000/C43","=D43*B43/1000","=A43*E43/31556952"
"68,719,476,771",12.00,"=C43+20","=60000/C44","=D44*B44/1000","=A44*E44/31556952"
"68,719,476,772",12.00,"=C44+20","=60000/C45","=D45*B45/1000","=A45*E45/31556952"
"68,719,476,773",12.00,"=C45+20","=60000/C46","=D46*B46/1000","=A46*E46/31556952"
